date,open,high,low,close,volume
2019-10-28 01:00:00,1.10822,1.10822,1.10771,1.10783,1679
2019-10-28 02:00:00,1.10781,1.10793,1.1076,1.10786,1585
2019-10-28 03:00:00,1.10786,1.10815,1.10781,1.10815,1292
2019-10-28 04:00:00,1.10815,1.10839,1.10809,1.10827,957
2019-10-28 05:00:00,1.10827,1.10878,1.10816,1.10876,1831
2019-10-28 06:00:00,1.10876,1.10913,1.10856,1.10912,2039
2019-10-28 07:00:00,1.10913,1.1092,1.1086,1.109,4357
2019-10-28 08:00:00,1.10899,1.10968,1.10886,1.10915,5394
2019-10-28 09:00:00,1.10915,1.10958,1.10883,1.10915,4170
2019-10-28 10:00:00,1.10915,1.10958,1.10902,1.10947,3515
2019-10-28 11:00:00,1.10947,1.11065,1.10945,1.10966,4525
2019-10-28 12:00:00,1.10968,1.11019,1.10869,1.10872,5127
2019-10-28 13:00:00,1.10872,1.10968,1.10842,1.10941,5339
2019-10-28 14:00:00,1.10942,1.10978,1.10904,1.10916,5216
2019-10-28 15:00:00,1.10917,1.1094,1.10863,1.10932,4283
2019-10-28 16:00:00,1.10933,1.10988,1.10919,1.10986,3350
2019-10-28 17:00:00,1.10986,1.11028,1.10969,1.1102,2370
2019-10-28 18:00:00,1.11021,1.11021,1.10968,1.10977,2015
2019-10-28 19:00:00,1.10976,1.11032,1.10966,1.11028,1781
2019-10-28 20:00:00,1.11027,1.11031,1.10989,1.10991,973
2019-10-28 21:00:00,1.1099,1.11019,1.10977,1.10992,785
2019-10-28 22:00:00,1.10994,1.11009,1.10977,1.10982,888
2019-10-28 23:00:00,1.10981,1.10997,1.10976,1.10982,1030
2019-10-29 00:00:00,1.10982,1.10998,1.10966,1.10978,1948
2019-10-29 01:00:00,1.10978,1.1098,1.10913,1.10943,2197
2019-10-29 02:00:00,1.10942,1.11025,1.10939,1.1097,1746
2019-10-29 03:00:00,1.10969,1.10975,1.10945,1.10962,1458
2019-10-29 04:00:00,1.10962,1.10967,1.10924,1.10928,1268
2019-10-29 05:00:00,1.10929,1.10951,1.10924,1.10942,1355
2019-10-29 06:00:00,1.10942,1.10946,1.10887,1.10906,1666
2019-10-29 07:00:00,1.10907,1.10937,1.10835,1.10843,3952
2019-10-29 08:00:00,1.10844,1.10863,1.10772,1.10794,5209
2019-10-29 09:00:00,1.10795,1.10833,1.1077,1.10774,4719
2019-10-29 10:00:00,1.10773,1.10911,1.10735,1.10894,5986
2019-10-29 11:00:00,1.10896,1.10911,1.10778,1.10816,5170
2019-10-29 12:00:00,1.10817,1.10961,1.10806,1.10949,4796
2019-10-29 13:00:00,1.10949,1.10985,1.10924,1.10955,5456
2019-10-29 14:00:00,1.10955,1.11124,1.10951,1.11103,6686
2019-10-29 15:00:00,1.11102,1.11175,1.11063,1.11165,6776
2019-10-29 16:00:00,1.11164,1.11183,1.11069,1.11094,4617
2019-10-29 17:00:00,1.11093,1.11103,1.11072,1.11081,2376
2019-10-29 18:00:00,1.11081,1.11119,1.11049,1.11108,1981
2019-10-29 19:00:00,1.11107,1.11134,1.11093,1.11111,1923
2019-10-29 20:00:00,1.1111,1.11126,1.11094,1.11118,1024
2019-10-29 21:00:00,1.11117,1.11142,1.11103,1.1112,793
2019-10-29 22:00:00,1.11119,1.11136,1.11115,1.1112,888
2019-10-29 23:00:00,1.1112,1.11141,1.11115,1.1112,1014
2019-10-30 00:00:00,1.11119,1.11122,1.11066,1.1109,2101
2019-10-30 01:00:00,1.1109,1.11123,1.11084,1.11099,1891
2019-10-30 02:00:00,1.11101,1.11107,1.11066,1.11076,1449
2019-10-30 03:00:00,1.11076,1.1109,1.11063,1.11086,1235
2019-10-30 04:00:00,1.11086,1.11097,1.11075,1.1109,940
2019-10-30 05:00:00,1.11091,1.11125,1.11079,1.11097,1401
2019-10-30 06:00:00,1.11098,1.11166,1.11096,1.11148,1959
2019-10-30 07:00:00,1.11148,1.11234,1.11128,1.11216,4731
2019-10-30 08:00:00,1.11215,1.11232,1.1113,1.11191,5301
2019-10-30 09:00:00,1.1119,1.112,1.11116,1.11118,3998
2019-10-30 10:00:00,1.11117,1.1127,1.11117,1.11216,4876
2019-10-30 11:00:00,1.11215,1.11236,1.11069,1.11139,5270
2019-10-30 12:00:00,1.11141,1.11167,1.11021,1.11141,7233
2019-10-30 13:00:00,1.11142,1.11172,1.11033,1.11076,7352
2019-10-30 14:00:00,1.11077,1.11188,1.11057,1.11118,6825
2019-10-30 15:00:00,1.1112,1.11234,1.11118,1.1123,5964
2019-10-30 16:00:00,1.1123,1.11255,1.11189,1.11208,4119
2019-10-30 17:00:00,1.11207,1.1123,1.11147,1.1116,2687
2019-10-30 18:00:00,1.11161,1.1127,1.10801,1.11257,12234
2019-10-30 19:00:00,1.1126,1.1151,1.11226,1.11439,8436
2019-10-30 20:00:00,1.11438,1.11516,1.1142,1.11501,2197
2019-10-30 21:00:00,1.11499,1.11533,1.11485,1.11523,1325
2019-10-30 22:00:00,1.11523,1.11551,1.11522,1.11529,1490
2019-10-30 23:00:00,1.1153,1.11554,1.11519,1.11521,1453
2019-10-31 00:00:00,1.11521,1.11624,1.11521,1.11622,2996
2019-10-31 01:00:00,1.11621,1.11698,1.11595,1.11663,3540
2019-10-31 02:00:00,1.11664,1.1168,1.1163,1.11665,1961
2019-10-31 03:00:00,1.11665,1.11688,1.11656,1.11687,2100
2019-10-31 04:00:00,1.11686,1.11704,1.11648,1.1165,1519
2019-10-31 05:00:00,1.11651,1.11655,1.11605,1.11614,1767
2019-10-31 06:00:00,1.11613,1.11647,1.11576,1.11641,2218
2019-10-31 07:00:00,1.11642,1.11674,1.11573,1.11631,5572
2019-10-31 08:00:00,1.11631,1.11755,1.1158,1.11748,6631
2019-10-31 09:00:00,1.11748,1.1175,1.11596,1.11635,9041
2019-10-31 10:00:00,1.11639,1.11748,1.11517,1.11547,6595
2019-10-31 11:00:00,1.11548,1.11646,1.11442,1.11513,6514
2019-10-31 12:00:00,1.11513,1.1164,1.11492,1.11528,7336
2019-10-31 13:00:00,1.11526,1.11562,1.11416,1.11482,6743
2019-10-31 14:00:00,1.11483,1.1152,1.11314,1.11425,7293
2019-10-31 15:00:00,1.11424,1.11589,1.11337,1.11558,7314
2019-10-31 16:00:00,1.11556,1.11583,1.11461,1.11504,5746
2019-10-31 17:00:00,1.11504,1.11542,1.11438,1.11459,3868
2019-10-31 18:00:00,1.11458,1.11476,1.11404,1.11452,3242
2019-10-31 19:00:00,1.11453,1.11531,1.11427,1.11529,2830
2019-10-31 20:00:00,1.1153,1.1154,1.11489,1.11513,1058
